exp,replicate,i,j,transition,method,accuracy_top1,transport_cost,mass
exp1,2,1,2,1→2,partial,0.32625994694960214,0.00012600273022201207,0.6999999999999997
exp1,3,0,1,0→1,entropic-kl,0.6605504587155964,0.0036449083898574134,0.841235591740201
exp1,3,0,1,0→1,mm-kl,0.5779816513761468,0.0012222410423612332,0.9817494063341765
exp1,3,0,1,0→1,mm-l2,0.6055045871559633,0.0010312053401660384,0.9712047454090191
exp1,3,0,1,0→1,partial,0.555045871559633,0.00026276487379246397,0.6999999999999997
exp1,3,1,2,1→2,entropic-kl,0.3895216400911162,0.0033766977849956706,0.8484501355235379
exp1,3,1,2,1→2,mm-kl,0.3917995444191344,0.0007295234637064211,0.990397452499508
exp1,3,1,2,1→2,mm-l2,0.4168564920273349,0.00048518161095009325,0.9745399700465314
exp1,3,1,2,1→2,partial,0.3097949886104784,0.00012188478265796899,0.6999999999999994
exp1,4,0,1,0→1,entropic-kl,0.7252747252747253,0.003867978092970309,0.8369431808588952
exp1,4,0,1,0→1,mm-kl,0.6263736263736264,0.001457756270758764,0.9793350118275976
exp1,4,0,1,0→1,mm-l2,0.6263736263736264,0.0012133612660713685,0.9681048617139505
exp1,4,0,1,0→1,partial,0.5824175824175825,0.00029800606222704315,0.7
exp1,4,1,2,1→2,entropic-kl,0.418848167539267,0.003449836460677081,0.8435252673046895
exp1,4,1,2,1→2,mm-kl,0.4083769633507853,0.0009721510119865193,0.9878189569796811
exp1,4,1,2,1→2,mm-l2,0.4397905759162304,0.0007050043734772751,0.9707566421293643
exp1,4,1,2,1→2,partial,0.32460732984293195,0.0001837710337176687,0.7
exp1,5,0,1,0→1,entropic-kl,0.7512953367875648,0.0036458250567175466,0.8373590307984329
exp1,5,0,1,0→1,mm-kl,0.6217616580310881,0.00138429987288957,0.9816551700864463
exp1,5,0,1,0→1,mm-l2,0.6580310880829016,0.001128744201081834,0.9719265890989974
exp1,5,0,1,0→1,partial,0.5284974093264249,0.0002411255442530322,0.7000000000000002
exp1,5,1,2,1→2,entropic-kl,0.47393364928909953,0.0033865579682959964,0.8427965902943859
exp1,5,1,2,1→2,mm-kl,0.44075829383886256,0.0008722392160108921,0.9884741699997991
exp1,5,1,2,1→2,mm-l2,0.46208530805687204,0.0006180000184449672,0.9713203174123906
exp1,5,1,2,1→2,partial,0.4004739336492891,0.00016807319979548644,0.7
exp1,6,0,1,0→1,entropic-kl,0.676056338028169,0.003522281003429331,0.8410023031496188
exp1,6,0,1,0→1,mm-kl,0.6009389671361502,0.0010974891283961497,0.98342603559082
exp1,6,0,1,0→1,mm-l2,0.6244131455399061,0.0008923111824305477,0.9738403886310336
exp1,6,0,1,0→1,partial,0.5821596244131455,0.00020432818551469504,0.7000000000000002
exp1,6,1,2,1→2,entropic-kl,0.3740831295843521,0.003292313941166229,0.8455492854648954
exp1,6,1,2,1→2,mm-kl,0.42053789731051344,0.0007813670711222275,0.9889884403461007
exp1,6,1,2,1→2,mm-l2,0.43276283618581907,0.0005657878064867564,0.9722759869736963
exp1,6,1,2,1→2,partial,0.3105134474327628,0.00015546644768000162,0.7000000000000003
exp1,7,0,1,0→1,entropic-kl,0.6632124352331606,0.003535676642495174,0.8434380872686507
exp1,7,0,1,0→1,mm-kl,0.5647668393782384,0.0013269198079354245,0.9831759667653944
exp1,7,0,1,0→1,mm-l2,0.5751295336787565,0.001167051844675492,0.9751557170384559
exp1,7,0,1,0→1,partial,0.5181347150259067,0.00025156278326296164,0.7000000000000002
exp1,7,1,2,1→2,entropic-kl,0.42587601078167114,0.0031984018802742762,0.8483177462644691
exp1,7,1,2,1→2,mm-kl,0.3477088948787062,0.0008424729600569788,0.9888599147596738
exp1,7,1,2,1→2,mm-l2,0.38544474393531,0.0006041867208929142,0.9728809798961395
exp1,7,1,2,1→2,partial,0.29380053908355797,0.00014508741936611525,0.6999999999999996
exp1,8,0,1,0→1,entropic-kl,0.6515151515151515,0.0037709647179732554,0.8416381498823364
exp1,8,0,1,0→1,mm-kl,0.601010101010101,0.001339041883346603,0.9809572285598489
exp1,8,0,1,0→1,mm-l2,0.6464646464646465,0.0011091006645094401,0.9703920522509474
exp1,8,0,1,0→1,partial,0.5454545454545454,0.0002230551010540371,0.7000000000000001
exp1,8,1,2,1→2,entropic-kl,0.4449760765550239,0.0034887833372042694,0.8464123188615998
exp1,8,1,2,1→2,mm-kl,0.3923444976076555,0.0008967328383133982,0.9873884490986164
exp1,8,1,2,1→2,mm-l2,0.4354066985645933,0.0005634451043470555,0.9695049216190347
exp1,8,1,2,1→2,partial,0.3444976076555024,0.00014246921865939842,0.7
exp1,9,0,1,0→1,entropic-kl,0.5925925925925926,0.0034585427556576478,0.8402056118856308
